Interprise,Name,Age,Since,Position,Biography,,,,,,,,,
"America Movil SAB de CV ","							Antonio;CosioPando",null,2015,                                 Director and Vice President of Grupo Hotelero las Brisas," 					 							Mr. Antonio Cosio Pando serves as Director and Vice President of Grupo Hotelero las Brisas of America Movil S.A.B de C.V. since 2015. He has also served as Chief Executive Officer of Grupo Las Brisas and General Manager of Compañía Industrial Tepejí del Río S.A. de C.V., Director at America Mobile. He holds Bachelors degree in Engineering from Instituto Tecnologico y de Estudios Superiores de Monterrey.",,,,,,,,,
"America Movil SAB de CV ","							JuanAntonio;Aguilar",null,2015,                                 Chief Executive Officer of Central America," 					 							",,,,,,,,,
"America Movil SAB de CV ","							JuanCarlos;ArchilaCabal",null,null,                                 Chief Executive Officer of Colombia," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Oscar;Borda",59,null,                                 Chief Executive Officer of Panama," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Humberto;ChavezLopez",null,null,                                 Chief Executive Officer of Peru," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Alfredo;EscobarSanLucas",null,null,                                 Chief Executive Officer of Ecuador," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Mauricio;Escobedo",null,null,                                 Chief Executive Officer of Chile," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Daniel;FeldmanBarros",null,null,                                 Chief Executive Officer of Residential Market Unit of Brazil," 					 							",,,,,,,,,
"America Movil SAB de CV ","							JoseAntonio;GuaraldiFelix",null,null,                                 President of Brazil," 					 							Mr. Jose Antonio Guaraldi Felix serves as President of Brazil Division at America Movil S.A.B de C.V. Previously, he served as President of Brazil Division of within the company. He holds a degree in Telecommunications Engineering from Pontificia Universidade Catolica do Rio Grande do Sul (PUCRS).",,,,,,,,,
"America Movil SAB de CV ","							JoseFormoso;Martinez",null,null,                                 Chief Executive Officer of Corporate Market Unit of Brazil," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Enrique;OrtizdeMontellanoRangel",null,null,                                 Chief Executive Officer of Puerto Rico," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Oscar;PenaChacon",null,null,                                 Chief Executive Officer of Dominican Republic," 					 							",,,,,,,,,
"America Movil SAB de CV ","							F.J.;Pollak",null,null,                                 Chief Executive Officer of United States," 					 							",,,,,,,,,
"America Movil SAB de CV ","							JulioCarlos;PorrasZadik",null,null,"                                 Chief Executive Officer of Argentina, Uruguay and Paraguay"," 					 							",,,,,,,,,
"America Movil SAB de CV ","							CarlosHernan;ZentenodelosSantos",null,null,                                 Chief Executive Officer ofPersonal Market Unit of Brazil," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Salvador;CortesGomez",null,null,                                 Chief Operating Officer of Mexico," 					 							Mr. Salvador Cortes Gomez serves as Chief Operating Officer of Mexico at America Movil S.A.B de C.V. He also serves as Executive Director of Regional Units.",,,,,,,,,
"America Movil SAB de CV ","							PatriciaRaquel;HeviaCoto",null,null,                                 Chief Operating Officer of Mexico," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Alejandro;CantuJimenez",null,null,"                                 General Counsel, Secretary"," 					 							Mr. Alejandro Cantu Jimenez serves as General Counsel, Secretary of America Movil S.A.B de C.V. He was appointed the Company's Director of Legal Affairs in 2001. He has also worked at the Law Firm Mijares, Angoitia, Cortes y Fuentes SC. He holds a degree in Law from Universidad Iberoamericana in 1996.",,,,,,,,,
"America Movil SAB de CV ","							Oscar;VonHauskeSolis",59,2011,"                                 Chief Fixed-line Operations Officer, Director"," 					 							Mr. Oscar Von Hauske Solis serves as Chief Fixed-line Operations Officer, Director of America Movil S.A.B de C.V. since April 27, 2011. He also acted as Director of the Company from 2010. He acts as Member of the Company’s Committee of Operations in Puerto Rico and the United States. He has served as Member of the Board of Telmex and Telmex Internacional and Finance Director of Grupo Condumex SA de CV. He was also Chief Executive Officer of Telmex Internacional and Director of Communications and Systems of Telmex. He holds a degree in Public Accounting from Escuela Bancaria y Comercial and a Masters in Administration from Instituto Tecnologico Autonomo de Mexico (ITAM).",,,,,,,,,
"America Movil SAB de CV ","							Angel;AlijaGuerrero",null,2012,                                 Chief Wireless Operations Officer," 					 							Mr. Angel Alija Guerrero serves as Chief Wireless Operations Officer of America Movil S.A.B de C.V. since 2012. He has held Various positions in América Móvil.",,,,,,,,,
"America Movil SAB de CV ","							Gustavo;BlancoVillanueva",null,null,                                 Chief Financial Officer of United States," 					 							",,,,,,,,,
"America Movil SAB de CV ","							MarcoAntonio;CamposGarcia",null,null,                                 Chief Financial Officer of Ecuador," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Roberto;Catalao",null,null,                                 Chief Financial Officer of Brazil," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Daniel;deMarco",null,null,"                                 Chief Financial Officer of Argentina, Uruguay and Paraguay"," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Fernando;GonzalezApango",null,null,                                 Chief Financial Officer of Colombia," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Abraham;Hernandez",null,null,                                 Chief Financial Officer of Panama," 					 							",,,,,,,,,
"America Movil SAB de CV ","							Alfonso;LaraLopez",null,null,                                 Chief Financial Officer of Chile," 					 							Mr. Alfonso Lara Lopez serves as Chief Financial Officer of Chile at America Movil S.A.B de C.V. He holds a degree in Civil Engineering from Universidad Anahuac and a Masters degree in Business Administration from Instituto Panamericano de Alta Direccion de Empresa (IPADE).",,,,,,,,,
"America Movil SAB de CV ","							Enrique;LunaRoshardt",null,null,                                 Chief Financial Officer of Central America Division," 					 							",,,,,,,,,
